neuron development,GO:0048666,4.92E-13,"FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005775,FBgn0010114,FBgn0014343,FBgn0015371,FBgn0015904,FBgn0028644,FBgn0028645,FBgn0031414,FBgn0032666,FBgn0036494,FBgn0038084,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0053179,FBgn0083981,FBgn0086680,FBgn0262636,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0283451,FBgn0284408,FBgn0285926"
taxis,GO:0042330,1.12E-12,"FBgn0000028,FBgn0000635,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005775,FBgn0014343,FBgn0028644,FBgn0028645,FBgn0036494,FBgn0038084,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0053179,FBgn0085382,FBgn0086680,FBgn0262738,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0265959,FBgn0283451,FBgn0284408"
neuron projection development,GO:0031175,1.22E-12,"FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005775,FBgn0014343,FBgn0015371,FBgn0015904,FBgn0028644,FBgn0028645,FBgn0036494,FBgn0038084,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0053179,FBgn0083981,FBgn0086680,FBgn0262636,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0283451,FBgn0284408,FBgn0285926"
system development,GO:0048731,3.47E-12,"FBgn0000028,FBgn0000287,FBgn0000635,FBgn0001235,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0003326,FBgn0003866,FBgn0004198,FBgn0004364,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0004863,FBgn0005775,FBgn0010114,FBgn0011224,FBgn0014343,FBgn0015371,FBgn0015561,FBgn0015903,FBgn0015904,FBgn0015919,FBgn0017590,FBgn0021895,FBgn0025525,FBgn0028644,FBgn0028645,FBgn0029814,FBgn0031294,FBgn0031414,FBgn0032666,FBgn0036494,FBgn0038084,FBgn0038980,FBgn0039257,FBgn0039283,FBgn0039286,FBgn0039380,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0041789,FBgn0051721,FBgn0053179,FBgn0083981,FBgn0086680,FBgn0243486,FBgn0261285,FBgn0261556,FBgn0262636,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0283451,FBgn0284408,FBgn0285926"
cell morphogenesis involved in neuron differentiation,GO:0048667,5.20E-12,"FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0014343,FBgn0015371,FBgn0015904,FBgn0028644,FBgn0028645,FBgn0036494,FBgn0038084,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0053179,FBgn0083981,FBgn0086680,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0283451,FBgn0284408"
neuron recognition,GO:0008038,1.18E-11,"FBgn0000028,FBgn0000635,FBgn0002543,FBgn0004369,FBgn0004652,FBgn0005775,FBgn0010114,FBgn0028644,FBgn0032666,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0284408"
cell recognition,GO:0008037,1.90E-11,"FBgn0000028,FBgn0000635,FBgn0002543,FBgn0004369,FBgn0004652,FBgn0005775,FBgn0010114,FBgn0028644,FBgn0032666,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0284408"
nervous system development,GO:0007399,2.45E-11,"FBgn0000028,FBgn0000635,FBgn0001235,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0003326,FBgn0004198,FBgn0004364,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005775,FBgn0010114,FBgn0014343,FBgn0015371,FBgn0015561,FBgn0015903,FBgn0015904,FBgn0015919,FBgn0017590,FBgn0028644,FBgn0028645,FBgn0029814,FBgn0031414,FBgn0032666,FBgn0036494,FBgn0038084,FBgn0038980,FBgn0039283,FBgn0039286,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0053179,FBgn0083981,FBgn0086680,FBgn0262636,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0283451,FBgn0284408,FBgn0285926"
neuron differentiation,GO:0030182,4.44E-11,"FBgn0000028,FBgn0000635,FBgn0001235,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005775,FBgn0010114,FBgn0014343,FBgn0015371,FBgn0015904,FBgn0015919,FBgn0017590,FBgn0028644,FBgn0028645,FBgn0031414,FBgn0032666,FBgn0036494,FBgn0038084,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0053179,FBgn0083981,FBgn0086680,FBgn0262636,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0283451,FBgn0284408,FBgn0285926"
neuron projection morphogenesis,GO:0048812,7.43E-11,"FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0014343,FBgn0015371,FBgn0015904,FBgn0028644,FBgn0028645,FBgn0036494,FBgn0038084,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0051721,FBgn0053179,FBgn0083981,FBgn0086680,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265296,FBgn0283451,FBgn0284408"
