term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006812,"cation transport",3.242%,-0.327,-6.802,5.619,-2.2083,0.980,0.000,6812,0
GO:0006935,"chemotaxis",0.475%,-6.774,-0.238,4.785,-13.3904,0.854,0.000,6935,0
GO:0042330,"taxis",0.480%,null,null,4.789,-14.3969,0.860,0.854,6935,1
GO:0007610,"behavior",0.170%,-0.055,-8.246,4.338,-3.6770,0.980,0.000,7610,0
GO:0009987,"cellular process",63.780%,-1.509, 0.668,6.913,-2.5606,0.993,0.000,9987,0
GO:0022610,"biological adhesion",0.550%, 0.064,-5.057,4.849,-10.9508,0.980,0.000,22610,0
GO:0023052,"signaling",6.765%,-3.161, 6.431,5.939,-14.6216,0.981,0.000,23052,0
GO:0032501,"multicellular organismal process",2.373%, 4.508, 1.357,5.483,-13.7932,0.980,0.000,32501,0
GO:0032502,"developmental process",2.812%, 7.658, 2.655,5.557,-8.3098,0.980,0.000,32502,0
GO:0040007,"growth",0.317%,-0.248,-2.212,4.609,-3.5870,0.980,0.000,40007,0
GO:0040011,"locomotion",0.997%,-2.940, 4.504,5.107,-10.2676,0.980,0.000,40011,0
GO:0048699,"generation of neurons",0.366%, 4.924,-1.532,4.671,-14.8210,0.369,0.000,48699,0
GO:0048513,"animal organ development",0.779%,null,null,5.000,-3.4022,0.401,0.888,48699,1
GO:0007399,"nervous system development",0.582%,null,null,4.873,-13.0788,0.412,0.861,48699,1
GO:0007409,"axonogenesis",0.118%,null,null,4.179,-15.2055,0.356,0.881,48699,1
GO:0007411,"axon guidance",0.066%,null,null,3.930,-13.4802,0.328,0.945,48699,1
GO:0008038,"neuron recognition",0.012%,null,null,3.178,-6.0595,0.468,0.742,48699,1
GO:0008039,"synaptic target recognition",0.002%,null,null,2.496,-2.4514,0.508,0.743,48699,1
GO:0048812,"neuron projection morphogenesis",0.164%,null,null,4.323,-12.5528,0.345,0.970,48699,1
GO:0001941,"postsynaptic membrane organization",0.005%,null,null,2.831,-2.2050,0.756,0.818,48699,1
GO:0008045,"motor neuron axon guidance",0.011%,null,null,3.144,-8.0701,0.386,0.738,48699,1
GO:0097090,"presynaptic membrane organization",0.001%,null,null,2.283,-1.4102,0.770,0.764,48699,1
GO:0048856,"anatomical structure development",2.540%,null,null,5.513,-8.7696,0.466,0.885,48699,1
GO:0048858,"cell projection morphogenesis",0.168%,null,null,4.333,-12.4750,0.409,0.990,48699,1
GO:0061564,"axon development",0.129%,null,null,4.217,-16.3615,0.363,0.911,48699,1
GO:0030182,"neuron differentiation",0.334%,null,null,4.632,-14.8665,0.369,0.963,48699,1
GO:0048869,"cellular developmental process",1.896%,null,null,5.386,-8.4389,0.419,0.909,48699,1
GO:0031175,"neuron projection development",0.220%,null,null,4.451,-14.1427,0.346,0.944,48699,1
GO:0007275,"multicellular organism development",1.559%,null,null,5.301,-10.1986,0.392,0.921,48699,1
GO:0009887,"animal organ morphogenesis",0.264%,null,null,4.530,-7.6162,0.430,0.747,48699,1
GO:0048667,"cell morphogenesis involved in neuron differentiation",0.148%,null,null,4.278,-12.8013,0.354,0.945,48699,1
GO:0048666,"neuron development",0.270%,null,null,4.539,-15.7852,0.374,0.944,48699,1
GO:0007528,"neuromuscular junction development",0.019%,null,null,3.384,-2.7829,0.739,0.881,48699,1
GO:0048468,"cell development",0.573%,null,null,4.866,-9.6364,0.427,0.822,48699,1
GO:0022008,"neurogenesis",0.423%,null,null,4.735,-13.6596,0.371,0.924,48699,1
GO:0007416,"synapse assembly",0.038%,null,null,3.685,-3.0196,0.408,0.758,48699,1
GO:0009653,"anatomical structure morphogenesis",1.542%,null,null,5.296,-10.6326,0.475,0.838,48699,1
GO:0048731,"system development",1.264%,null,null,5.210,-11.8827,0.390,0.821,48699,1
GO:0097485,"neuron projection guidance",0.068%,null,null,3.940,-12.9872,0.329,0.912,48699,1
GO:0050896,"response to stimulus",12.210%, 1.575,-7.780,6.195,-10.3251,0.982,0.000,50896,0
GO:0065007,"biological regulation",20.498%, 0.998, 1.064,6.420,-10.2848,0.984,0.000,65007,0
GO:0065008,"regulation of biological quality",3.395%,-4.388,-4.548,5.639,-3.2949,0.907,0.000,65008,0
GO:0098609,"cell-cell adhesion",0.251%,-5.055, 5.849,4.507,-12.9547,0.916,0.000,98609,0
GO:0007156,"homophilic cell adhesion via plasma membrane adhesion molecules",0.095%,null,null,4.087,-6.2262,0.913,0.866,98609,1
GO:0007155,"cell adhesion",0.544%,null,null,4.844,-11.4318,0.913,0.924,98609,1
GO:0098742,"cell-cell adhesion via plasma-membrane adhesion molecules",0.108%,null,null,4.140,-11.1701,0.915,0.809,98609,1
GO:0007154,"cell communication",7.219%,-1.919,-7.547,5.967,-15.3665,0.942,0.040,7154,0
GO:0046068,"cGMP metabolic process",0.035%, 0.210, 4.603,3.651,-1.7986,0.848,0.138,46068,0
GO:0034330,"cell junction organization",0.056%, 2.770, 5.886,3.855,-13.8210,0.752,0.143,34330,0
GO:0008037,"cell recognition",0.067%, 3.129, 3.413,3.931,-5.8571,0.842,0.145,8037,0
GO:0007267,"cell-cell signaling",0.407%,-3.397, 2.004,4.718,-10.8996,0.759,0.168,7267,0
GO:0030029,"actin filament-based process",0.398%, 0.298, 6.236,4.708,-1.6349,0.822,0.169,30029,0
GO:0006928,"movement of cell or subcellular component",0.973%,-0.215, 6.081,5.097,-5.2933,0.810,0.184,6928,0
GO:0042391,"regulation of membrane potential",0.135%,-4.037,-5.235,4.238,-2.9500,0.927,0.252,42391,0
GO:0031532,"actin cytoskeleton reorganization",0.028%, 4.028, 5.280,3.555,-1.8919,0.754,0.311,31532,0
GO:0030036,"actin cytoskeleton organization",0.381%,null,null,4.690,-1.4449,0.712,0.800,31532,1
GO:0034329,"cell junction assembly",0.044%, 3.567, 5.352,3.754,-3.6893,0.753,0.320,34329,0
GO:0050808,"synapse organization",0.070%, 3.182, 5.629,3.956,-13.1785,0.749,0.330,50808,0
GO:0019935,"cyclic-nucleotide-mediated signaling",0.013%,-5.393,-1.100,3.230,-5.9603,0.782,0.348,19935,0
GO:0019933,"cAMP-mediated signaling",0.011%,null,null,3.169,-1.4672,0.784,0.793,19935,1
