,D,DA4l,DC2,DC3,DL1,VA1d,VA1v,VA6,VM2,VM7 or VM5v #1,VM7 or VM5v #2
D,1.0,-0.2554250632417434,0.28146776987622607,0.26853730156231576,-0.12934983038358458,-0.1883183240011837,0.025532828295366402,-0.5520580014303211,-0.014512923472671723,-0.07136700595628638,0.10391385671144432
DA4l,-0.2554250632417434,1.0,-0.15620527008586904,-0.3185859792566508,-0.10781446485190231,-0.3530024244996616,-0.26109638471110347,0.515891639735031,-0.4188756125086794,-0.3274412715025933,-0.20761148585222217
DC2,0.28146776987622607,-0.15620527008586904,1.0,-0.04783396347159934,0.2789894068257466,-0.15804932902108354,-0.008886552976592656,-0.09831943075811754,-0.1202840078934661,-0.2289142343524704,-0.2529423556339698
DC3,0.26853730156231576,-0.3185859792566508,-0.04783396347159934,1.0,-0.22947658517706196,0.45116330746357014,0.05983887192084773,-0.5026972021840013,-0.12044400384635832,0.05392645892429659,0.09363953875470227
DL1,-0.12934983038358458,-0.10781446485190231,0.2789894068257466,-0.22947658517706196,1.0,-0.03342222022380851,-0.1887750061780635,0.18722103458605202,-0.1254806994208076,-0.10458983936935774,-0.40079519949966724
VA1d,-0.1883183240011837,-0.3530024244996616,-0.15804932902108354,0.45116330746357014,-0.03342222022380851,1.0,-0.03212206745075213,-0.21713829736118798,0.0061221733184915255,-0.05340296480065838,-0.07522885487838141
VA1v,0.025532828295366402,-0.26109638471110347,-0.008886552976592656,0.05983887192084773,-0.1887750061780635,-0.03212206745075213,1.0,-0.41212070825399616,0.4094815993706542,0.1901618565426255,0.21960839645485225
VA6,-0.5520580014303211,0.515891639735031,-0.09831943075811754,-0.5026972021840013,0.18722103458605202,-0.21713829736118798,-0.41212070825399616,1.0,-0.35663290416086696,-0.4938976947180008,-0.5601686406894412
VM2,-0.014512923472671723,-0.4188756125086794,-0.1202840078934661,-0.12044400384635832,-0.1254806994208076,0.0061221733184915255,0.4094815993706542,-0.35663290416086696,1.0,0.3823917368104313,0.1350549404820877
VM7 or VM5v #1,-0.07136700595628638,-0.3274412715025933,-0.2289142343524704,0.05392645892429659,-0.10458983936935774,-0.05340296480065838,0.1901618565426255,-0.4938976947180008,0.3823917368104313,1.0,0.486517119933693
VM7 or VM5v #2,0.10391385671144432,-0.20761148585222217,-0.2529423556339698,0.09363953875470227,-0.40079519949966724,-0.07522885487838141,0.21960839645485225,-0.5601686406894412,0.1350549404820877,0.486517119933693,1.0
