,D,DA4l,DC2,DC3,DL1,DM6,VA1d,VA1v,VA2,VA6,VM2,VM7 or VM5v #1,VM7 or VM5v #2
D,1.0,0.09378271321248503,0.14975868703194398,0.04585250083229794,0.12005785758080409,-0.191338370805424,-0.1110598410107555,-0.266049828796294,-0.06835898956131672,0.029798854434361102,-0.1532230435027377,-0.17087149065842447,-0.2480459888056795
DA4l,0.09378271321248503,1.0,0.2233104293031512,0.225498206224221,0.22767889763131505,-0.1934040990601287,0.11191371779952707,-0.13835941092702136,0.46807314384492876,0.5138226293060456,-0.06446227322074868,-0.2747948453218075,-0.5183706813565034
DC2,0.14975868703194398,0.2233104293031512,1.0,0.22521886815064873,0.17968855476211992,-0.1695737584705774,-0.13035586922218612,-0.23603595350746298,0.20307033640640829,0.10827909652308768,-0.02699171571213859,-0.29058793345710066,-0.23638215772953974
DC3,0.04585250083229794,0.225498206224221,0.22521886815064873,1.0,0.08431290661090735,-0.2665458938487553,0.32197709422653564,-0.149086660088635,-0.02020073046666719,0.1239742055006636,-0.2059964737867014,-0.2345529393299891,-0.34101229004671135
DL1,0.12005785758080409,0.22767889763131505,0.17968855476211992,0.08431290661090735,1.0,-0.22553618155103156,-0.0509128398058865,-0.23478195137561902,0.30747382441229276,0.19121833120125833,-0.3613187431296017,-0.1802214140334542,-0.16032994534718845
DM6,-0.191338370805424,-0.1934040990601287,-0.1695737584705774,-0.2665458938487553,-0.22553618155103156,1.0,-0.1479120830123522,-0.0375076934009801,-0.21110425849731765,-0.2076509557743686,0.30787992983276696,0.0051914324589548535,-0.051080955391075586
VA1d,-0.1110598410107555,0.11191371779952707,-0.13035586922218612,0.32197709422653564,-0.0509128398058865,-0.1479120830123522,1.0,-0.1816378977626342,-0.06022597900610515,0.07044134208092445,-0.23237922177933998,-0.16757163508375778,-0.02914972105099675
VA1v,-0.266049828796294,-0.13835941092702136,-0.23603595350746298,-0.149086660088635,-0.23478195137561902,-0.0375076934009801,-0.1816378977626342,1.0,-0.1424339986044463,-0.12724826995229827,-0.1812454342341,-0.1903162903460584,-0.15545551286737766
VA2,-0.06835898956131672,0.46807314384492876,0.20307033640640829,-0.02020073046666719,0.30747382441229276,-0.21110425849731765,-0.06022597900610515,-0.1424339986044463,1.0,0.26851842307416895,-0.15451519655653534,-0.1049590348244056,-0.1359313479313236
VA6,0.029798854434361102,0.5138226293060456,0.10827909652308768,0.1239742055006636,0.19121833120125833,-0.2076509557743686,0.07044134208092445,-0.12724826995229827,0.26851842307416895,1.0,-0.1368436569135393,-0.2948638598024752,-0.44707722798735633
VM2,-0.1532230435027377,-0.06446227322074868,-0.02699171571213859,-0.2059964737867014,-0.3613187431296017,0.30787992983276696,-0.23237922177933998,-0.1812454342341,-0.15451519655653534,-0.1368436569135393,1.0,0.09122894339228474,0.0358361314927651
VM7 or VM5v #1,-0.17087149065842447,-0.2747948453218075,-0.29058793345710066,-0.2345529393299891,-0.1802214140334542,0.0051914324589548535,-0.16757163508375778,-0.1903162903460584,-0.1049590348244056,-0.2948638598024752,0.09122894339228474,1.0,0.24947026167892927
VM7 or VM5v #2,-0.2480459888056795,-0.5183706813565034,-0.23638215772953974,-0.34101229004671135,-0.16032994534718845,-0.051080955391075586,-0.02914972105099675,-0.15545551286737766,-0.1359313479313236,-0.44707722798735633,0.0358361314927651,0.24947026167892927,1.0
