,pvalue,medianA,medianB,meanA,meanB,pvalue_adj
CR40611,4.41418049845536e-297,3.5557936714448544,0.0,3.3376361556927514,0.2520183112156446,7.18981719588409e-293
CR40640,7.078044099586178e-278,2.423655409139483,5.02113765,2.309158352867856,5.088345360570822,1.1528718229405967e-273
Akap200,6.454028364580559e-266,11.479190144637418,9.5943085,11.281715631908629,9.479529732346728,1.0512321400228815e-261
Atpalpha,2.319454795295322e-256,10.216981298689072,12.331860500000001,9.508285961655165,12.334684506342516,3.7779279705770204e-252
Hsp23,1.3502604128159344e-255,13.236773369028196,11.357028999999999,13.046681352982619,11.331584679704024,2.199304160394594e-251
Rop,1.535463615564724e-254,3.462528077750421,9.903691,3.6965866292050045,9.265652086363625,2.5009631370318223e-250
14-3-3epsilon,3.2488499420726367e-254,13.754834664445836,12.501251,13.706733099821514,12.502640490486263,5.2917267856479106e-250
nSyb,2.5829436843731972e-253,8.739882445296493,10.7994205,7.222952018594764,10.660529411310797,4.2070986731070635e-249
hdc,2.051318495930201e-249,10.234900140545376,7.024775,9.99060690122341,5.939886966522199,3.3411875661711116e-245
mt:ATPase6,4.144493035979195e-247,11.86647324601233,9.491466500000001,11.697578357714487,9.393776610676532,6.750550257002913e-243
mt:CoII,4.2001696533710786e-246,12.225835429972134,10.24310225,12.077120148073092,10.068377219661736,6.841236331410813e-242
mt:ATPase8,1.7085291767612157e-239,6.761821799762376,4.3088785,6.659734954161423,4.335636141860462,2.782852323108668e-235
CG6044,3.021882851725601e-239,0.0,9.282320000000002,2.2435493754174725,8.41422579090909,4.922042788890659e-235
arm,1.9982771013378057e-234,9.49580905290473,11.5547975,8.107874355404629,11.30918086155391,3.254793742659018e-230
Blimp-1,1.4518329121065698e-232,0.0,7.599088200000001,0.8592800214522641,6.295086465052849,2.3647454472391808e-228
Gdh,2.2425180892752745e-228,7.3820198503117345,10.362578499999998,5.327329804982686,9.92909460190274,3.652613463811567e-224
Rbp9,3.778367734435217e-223,0.0,8.046616499999999,1.5116779324993055,7.043885003181811,6.15420536584808e-219
l(3)neo38,8.891754429570388e-217,8.845416362602068,0.0,8.107654109110559,2.7747917845771672,1.4482889614884248e-212
nAChRbeta1,2.408521385731663e-215,0.0,9.094273000000001,3.023884232480111,8.601490715433403,3.922999633079733e-211
Cals,6.242913485011985e-215,4.744180875043244,9.539292,4.345673979867932,9.037485070338267,1.0168457484387522e-210
st,4.710177859899395e-214,1.845498068604708,0.0,2.807019162827841,0.18395369975687087,7.671937698204134e-210
CG13298,5.6801683819366904e-213,10.598578586329603,8.8456325,10.312375884197227,8.512354169873149,9.251858260498482e-209
CG10077,5.267204787543046e-210,8.588164350068746,10.639106,7.453673984987465,10.453534346448203,8.579223157950114e-206
CR43481,1.4953895949585914e-208,2.7407387244839114,5.625975,2.7670798881972485,5.444245401754763,2.4356905722685537e-204
dock,2.121659909059357e-208,7.349241330307504,10.355248,6.104728793809733,9.847735518921768,3.455759659875881e-204
nAChRalpha7,3.6853085679062754e-207,8.225968911240647,10.544386500000002,6.670822128322724,10.342644026638467,6.002630595405741e-203
jim,2.1598323529684325e-203,10.143683420475908,7.3516112499999995,9.769356116583745,6.958611860253703,3.517934936514983e-199
Tret1-1,3.2878430880718007e-196,2.2708930367133444,0.0,2.5930374969058203,0.5626112343128964,5.355238821851349e-192
futsch,2.5841422888613302e-192,5.6159692419096885,8.60390575,4.745900435489267,8.348699340591963,4.209050960097335e-188
Vha100-1,3.95940229682909e-192,4.252802330795033,9.280911,3.9254098823971613,8.400159639682869,6.449074461075222e-188
Sema-2a,5.3635841021399775e-192,3.3160666067659235,9.0257435,3.476494262755644,8.100619119376328,8.736205785565595e-188
CR41583,2.0134604759131697e-191,2.2316706891357003,0.0,2.1649695945187606,0.38408556105708264,3.2795244231673707e-187
Lis-1,3.177222322674436e-190,6.7660339069701525,9.826169499999999,5.574190743934135,9.38587364973573,5.175059719172121e-186
Eps-15,1.5714845556845516e-188,0.0,8.692569250000002,2.066473326180652,7.312713431532777,2.5596340442989974e-184
unc79,2.7260940163991885e-188,0.0,7.79082705,0.8522727301839592,5.94428335514799,4.4402619339109983e-184
w,3.539775739724861e-188,0.0,8.57495,1.7138890873138695,7.267912539746304,5.765586724863854e-184
chinmo,7.94426752387147e-187,9.772762534944725,6.9870790000000005,9.033402630983689,6.142031598150105,1.293962294288185e-182
CG8500,1.410743040050901e-184,0.0,8.3607275,1.9873709854366772,7.117333466712473,2.2978182636349076e-180
Rdl,7.189903626564976e-182,0.8300177055866079,8.667171,3.2690712658522205,8.067036863752644,1.1710915026949032e-177
Teh3,2.6197600795798377e-177,0.0,5.97962785,0.16816205645796914,4.393066577315014,4.267065217619639e-173
mt:CoIII,2.190606404474682e-176,11.563834818540544,9.8366285,11.334145275681635,9.725932728435513,3.568059711608362e-172
Eip75B,4.445283846842159e-175,9.061868612612097,5.61043955,8.361491092192848,4.78832075305497,7.240478329736509e-171
Kr-h1,2.442917430090626e-174,4.859514109190435,0.0,4.015454312632371,0.011160829809725159,3.979023910131612e-170
Rtnl1,2.986453561527743e-172,8.521168720978759,10.061775999999998,7.020865659177611,9.924508244397465,4.864335561016388e-168
CG3800,6.28946872736409e-172,9.945508950515645,8.3923645,9.578381831388242,7.9008502429175484,1.024428666313063e-167
Df31,8.285219692625293e-170,11.61185277737952,10.447565999999998,11.152140633291866,10.389357876532753,1.3494965835348077e-165
HPS4,9.90832532500711e-170,0.0,6.600159649999999,0.9834069470653926,5.310753270095141,1.613868028937158e-165
CG9813,2.802510792380923e-169,0.0,7.24910525,1.2382552459767124,5.677637031437628,4.564729578630047e-165
Sep4,2.8966230171711853e-168,2.432517412720185,8.714661499999998,3.5478790953802752,7.780843544556034,4.718019570368426e-164
alphaSnap,1.0669112860878213e-167,7.5457261062975,9.700235500000002,5.866330280156469,9.330496412315016,1.7377851027798434e-163
Psa,1.0402769751826619e-165,0.0,9.104165,2.5450515279843406,7.410573667262164,1.6944031371775197e-161
Hsromega,1.4647200524387639e-164,12.490893695631964,10.432595,11.880716121579246,10.233309015285414,2.3857360214122585e-160
CG15765,2.7721931761246582e-161,3.3695753198380363,9.80568725,4.04961513158252,8.83301872900634,4.515348245271843e-157
CG7781,2.4502723787821804e-160,5.17494297161295,8.893569,4.147144299472542,8.081847953572936,3.9910036505604156e-156
CG42339,7.424109338564215e-160,0.0,8.8280835,1.3937599391603033,6.758248374260057,1.2092389290653394e-155
CG42540,4.447198439343317e-158,0.0,6.8968279,0.7850398588312973,5.173358229038051,7.243596818002395e-154
fwe,3.297021797951531e-156,0.0,6.31927065,1.521314868537377,5.3998186590486315,5.370189104503454e-152
ogre,1.823241286752503e-155,5.185217458837837,0.0,4.446299933209335,0.4704739752325581,2.969695407862477e-151
MRE16,1.6004452691986837e-154,10.469071054716688,8.3402465,10.295477237115476,8.099784115221993,2.606805254470816e-150
mt:lrRNA,2.1531008448893973e-152,7.550093791797942,4.565035,7.372350331579332,4.726712382346714,3.50697065615585e-148
Vha55,4.040841038077559e-151,4.490377142643033,8.95099975,4.099321480701965,7.971354147822411,6.581721882820727e-147
Ggamma1,7.77348766727009e-150,8.284255097297663,9.780807499999998,6.985521238341172,9.479066075475686,1.2661456712449524e-145
TM4SF,1.5368124665219673e-149,5.667269823554148,9.3706365,4.562205565524093,9.05433931860465,2.5031601454709802e-145
CG9636,1.3420077220734473e-148,7.9685111460200035,10.135308,6.282158399285187,9.68040158983085,2.185862177713231e-144
DIP1,3.757217393041978e-148,7.160903519515336,9.3720435,6.167706422346886,8.9188261485835,6.119755689786773e-144
Ext2,2.3625737925209546e-146,0.0,8.373058,2.1491735903857214,6.613756963594077,3.8481601932581306e-142
CG5151,7.5707580156080785e-146,7.371798223482304,2.94624045,6.452284700690201,2.8956149576532773,1.2331250655822438e-141
stai,1.959756398264368e-145,8.733440462234485,10.121642,8.104222402773301,9.962944672938669,3.192051221493003e-141
Eaat2,5.825661040830944e-145,7.598589569824095,10.1737375,5.947488530155224,9.390682013794926,9.488836703305442e-141
CR40469,9.826912648332625e-144,1.323705811181219,0.0,1.359784512646069,0.3076961876849895,1.600607532160418e-139
CG3967,2.3019750772762887e-141,4.140357534878054,9.093710999999999,4.130010217648273,7.992324212505281,3.749457005867619e-137
EndoA,8.093723879694314e-140,0.0,7.1639259,1.8731629282359892,5.927383389608878,1.31830574552461e-135
alpha-Man-Ib,3.2944628932936013e-139,0.0,8.4737525,2.525837517999923,6.864543032251592,5.366021160596618e-135
Men,4.7994898023737505e-139,6.4342078952326425,9.841653,4.809781572989359,8.812941062188163,7.817408990106364e-135
GstZ2,1.4998973093165647e-138,9.811829571759409,4.143334149999999,8.636795586674152,4.294027395708247,2.4430327374148206e-134
CR41535,5.460048893744383e-138,4.975754775147354,6.071207299999999,5.001431803075811,6.129301340909087,8.89332763813085e-134
Tsp42Ej,7.424653789236664e-138,7.246943274382055,9.341007999999999,5.193878322326729,8.95575373964058,1.2093276091908678e-133
swi2,9.70194142835137e-137,0.0,1.990043,0.3150345107378044,2.0630899531078217,1.580252219849871e-132
sced,3.4572893876490305e-136,0.0,7.9221542000000005,1.062290405676398,5.463881232135302,5.631232954602741e-132
PMCA,2.4474785882454553e-135,7.565897349497293,9.646891499999999,5.8983328913406226,9.128543805443982,3.9864531245341976e-131
CR40679,7.66369934445599e-134,1.3114135434182927,0.0,1.3548711924717898,0.2957654509196616,1.2482633492249917e-129
AP-1-2beta,2.0566705736482767e-131,3.445535883698832,9.2690605,4.032009915307076,8.056631388826629,3.349905030358313e-127
chic,2.4546791748163085e-131,11.866449478138266,11.174131,11.669343728640966,11.056121124947147,3.9981814399408035e-127
cib,3.9601213739597065e-131,10.6776096792744,9.491259750000001,10.215781267153137,9.231983150845663,6.45024569390557e-127
Unc-76,1.6304815374876603e-130,5.092967595047338,9.1464535,4.595203343626423,8.312821873319233,2.6557283282599012e-126
nrv3,8.918755407208137e-130,10.403209843982806,11.331077,9.55838601077822,11.239327578435509,1.4526868807260615e-125
CG42806,4.576130351659868e-129,0.0,2.3477472500000003,0.3180453195864854,3.1484605107293877,7.453601116783593e-125
CG13532,7.290933957516529e-129,1.4705222338060917,8.709291,3.4025036089095777,7.45927737663848,1.1875473230002923e-124
CG14762,1.1730512566228052e-128,0.0,8.152830999999999,1.8135699553351605,6.15861343402748,1.9106658867872254e-124
CG10195,2.1510949317607094e-128,0.5708470375445287,0.0,1.2376537860188352,0.20350828432346724,3.5037034248518434e-124
Ktl,3.6962367920445417e-128,0.0,8.2692305,2.1940500426918708,6.549396061152219,6.020430486882149e-124
