,pvalue,medianA,medianB,meanA,meanB,pvalue_adj
ps,7.438166263512393e-287,0.0,10.596166001245711,0.774030773038592,9.796302479774962,1.2115285210008986e-282
CG31808,2.333997656104041e-281,0.0,8.949043675078544,0.0704348719480004,7.2369118535364665,3.801615382262262e-277
Akap200,2.836412225498826e-270,11.479190144637418,0.0,11.281715631908629,2.514126487223599,4.619948232892488e-266
Hsp23,8.391065880174352e-270,13.236773369028196,0.0,13.046681352982619,3.81249524875552,1.3667368105627985e-265
Hsp27,4.900614811013361e-266,11.81693765784179,0.0,11.620268453633477,2.8773022836119133,7.982121404178562e-262
Act42A,7.550394030073381e-264,13.138437107554484,0.0,12.7094840248867,2.637169118336068,1.2298081796183522e-259
cib,3.44597768049725e-260,10.6776096792744,0.0,10.215781267153137,1.709507227429506,5.61280844599392e-256
Tob,3.693231575532225e-259,0.0,7.65691615677966,0.12648903673546333,6.1907395914430845,6.015535590226888e-255
Hasp,1.045269547242845e-258,0.0,10.396951557896863,0.7453494989263307,9.041068262623298,1.7025350385491457e-254
tsr,2.134184011730353e-257,11.574782292693554,4.829312872905307,11.354338043553712,4.116979040151098,3.4761589183063987e-253
CG12643,1.220538653490936e-255,10.623939288904584,0.0,9.881561386709,0.11816055880047018,1.9880133588060366e-251
Act5C,6.914007278033339e-251,14.43375756428955,11.084941777414898,14.11528551527989,9.807611776435795,1.1261535054460703e-246
IA-2,9.109939235132759e-251,3.71449944246206,12.141601207886673,3.8045901586460706,11.663096104952066,1.4838269026184238e-246
chic,1.2562992528613834e-249,11.866449478138266,8.35440741591571,11.669343728640966,6.24525390305709,2.0462602230606214e-245
CG13298,5.364788451284042e-249,10.598578586329603,0.0,10.312375884197227,2.392595972428226,8.738167429451447e-245
Df31,2.188197721310163e-242,11.61185277737952,6.072720056695056,11.152140633291866,4.668667968390409,3.564136448469994e-238
fax,3.525504127035083e-239,11.08107263321016,5.943107202929458,10.824690618228242,4.958210570992725,5.742341122114744e-235
Ddc,4.585769509886379e-239,0.0,9.598668170261597,0.48336809625069443,7.950930358448808,7.469301377702935e-235
Cbp53E,1.5686735143616227e-235,0.0,9.764581002857188,0.7612440431500812,8.38400920683266,2.5550554201922112e-231
Hsp67Bc,1.1519547515412134e-233,10.813730036361052,0.0,10.032826884165221,0.7003032560477409,1.8763038993103285e-229
Atpalpha,7.9071132225108315e-233,10.216981298689072,13.520299208358276,9.508285961655165,13.252967226702278,1.2879106016825642e-228
hdc,1.312592034114738e-231,10.234900140545376,0.9356561595090631,9.99060690122341,3.191132529385177,2.137949905166085e-227
Hsp67Ba,6.990624315974918e-227,9.494455553752053,0.0,8.84499777962393,2.629856190899261,1.1386328885859946e-222
HmgD,7.319080026664388e-225,9.961330584273368,0.0,9.347067474880769,1.8412242580564204,1.1921317547430956e-220
kcc,1.4781368697806787e-222,0.0,6.366587098638002,0.29079762924134256,5.437363226575349,2.4075893334987697e-218
sn,8.988662940479718e-222,10.28230859999699,0.0,9.287652207465,1.6031680247170481,1.4640734197453366e-217
Cyt-c-p,1.5311301002995667e-219,4.8003116687623155,10.64666240678034,3.679174818989005,9.908102340835578,2.4939047073679343e-215
Nlp,2.928627885110618e-218,10.158044757357102,0.0,9.332060890141094,1.9181884633140043,4.770149099268175e-214
Tctp,4.870702070121668e-208,10.323898137641356,0.0,9.68326842443887,3.160823389752082,7.933399531814174e-204
RpLP1,5.46197781449549e-208,10.460120186240589,7.4101180868140055,10.102153366000719,5.532116517473851,8.896469464250253e-204
Pglym78,1.5879710621714504e-207,0.0,10.464126816010054,1.6625861825159662,8.916238664498705,2.5864872660648586e-203
brat,1.935901388943629e-206,9.995193310339976,0.44795343003153487,9.548595687570229,2.948408073846749,3.153196182311383e-202
RpS5a,9.390615039768097e-205,10.496922462157508,6.708353242184764,9.945259051089362,4.841212729976659,1.5295433776774277e-200
RpLP2,1.3386504718043326e-204,9.680050299973773,5.931063179941338,9.307478259599279,4.531376123885764,2.180393888474897e-200
smt3,2.0720255915162866e-202,10.08572805960135,7.186850909675103,9.826734424109356,5.614145192557321,3.374915283461728e-198
SmF,2.137002134682564e-202,6.662164481907471,0.0,5.766459418251989,0.3563426274180745,3.4807490769709605e-198
cpx,1.0710797683862173e-200,9.455738048699573,13.0548577913647,8.312251300710509,12.269912679529236,1.7445747267474709e-196
