cell communication	5.351276924471248e-16	FBgn0000024,FBgn0000273,FBgn0000395,FBgn0002643,FBgn0003380,FBgn0003429,FBgn0003463,FBgn0003984,FBgn0004168,FBgn0004449,FBgn0004839,FBgn0004841,FBgn0004852,FBgn0004885,FBgn0010329,FBgn0011582,FBgn0011706,FBgn0011829,FBgn0015380,FBgn0015400,FBgn0015519,FBgn0015591,FBgn0015609,FBgn0015903,FBgn0015946,FBgn0016797,FBgn0019985,FBgn0024277,FBgn0024944,FBgn0025638,FBgn0028875,FBgn0029082,FBgn0029768,FBgn0030230,FBgn0030897,FBgn0033058,FBgn0033438,FBgn0033739,FBgn0033744,FBgn0033791,FBgn0033876,FBgn0034072,FBgn0034136,FBgn0034720,FBgn0035101,FBgn0035331,FBgn0035538,FBgn0035733,FBgn0035756,FBgn0035802,FBgn0036165,FBgn0036368,FBgn0036494,FBgn0036732,FBgn0036790,FBgn0036921,FBgn0037015,FBgn0037326,FBgn0037408,FBgn0037546,FBgn0038237,FBgn0038436,FBgn0038542,FBgn0039054,FBgn0040752,FBgn0041094,FBgn0041605,FBgn0051183,FBgn0051660,FBgn0051665,FBgn0051721,FBgn0052183,FBgn0053531,FBgn0083963,FBgn0083975,FBgn0085370,FBgn0085387,FBgn0085407,FBgn0085422,FBgn0085443,FBgn0085447,FBgn0086778,FBgn0250910,FBgn0259145,FBgn0259171,FBgn0260003,FBgn0261549,FBgn0261560,FBgn0261988,FBgn0262473,FBgn0262593,FBgn0262656,FBgn0262733,FBgn0263257,FBgn0263706,FBgn0263980,FBgn0263995,FBgn0264006,FBgn0264606,FBgn0264707,FBgn0264908,FBgn0265416,FBgn0266101,FBgn0267001,FBgn0285944	GO:0007154
signaling	9.617010554270897e-16	FBgn0000024,FBgn0000273,FBgn0000395,FBgn0002643,FBgn0003380,FBgn0003429,FBgn0003463,FBgn0003984,FBgn0004168,FBgn0004449,FBgn0004839,FBgn0004841,FBgn0004852,FBgn0004885,FBgn0010329,FBgn0011582,FBgn0011706,FBgn0011829,FBgn0015380,FBgn0015400,FBgn0015519,FBgn0015591,FBgn0015903,FBgn0015946,FBgn0016797,FBgn0019985,FBgn0024277,FBgn0024944,FBgn0025638,FBgn0028875,FBgn0029082,FBgn0029768,FBgn0030230,FBgn0030897,FBgn0033058,FBgn0033438,FBgn0033739,FBgn0033744,FBgn0033791,FBgn0033876,FBgn0034072,FBgn0034136,FBgn0035101,FBgn0035331,FBgn0035538,FBgn0035733,FBgn0035756,FBgn0035802,FBgn0036165,FBgn0036368,FBgn0036494,FBgn0036732,FBgn0036790,FBgn0036921,FBgn0037015,FBgn0037326,FBgn0037408,FBgn0037546,FBgn0038237,FBgn0038436,FBgn0038542,FBgn0039054,FBgn0040752,FBgn0041094,FBgn0041605,FBgn0051183,FBgn0051660,FBgn0051665,FBgn0051721,FBgn0052183,FBgn0053531,FBgn0083963,FBgn0083975,FBgn0085370,FBgn0085387,FBgn0085407,FBgn0085422,FBgn0085443,FBgn0085447,FBgn0086778,FBgn0250910,FBgn0259145,FBgn0259171,FBgn0260003,FBgn0261549,FBgn0261560,FBgn0261988,FBgn0262473,FBgn0262593,FBgn0262656,FBgn0262733,FBgn0263257,FBgn0263706,FBgn0263980,FBgn0263995,FBgn0264006,FBgn0264606,FBgn0264707,FBgn0264908,FBgn0265416,FBgn0266101,FBgn0267001,FBgn0285944	GO:0023052
nervous system development	1.3202913723746775e-13	FBgn0000273,FBgn0000636,FBgn0001180,FBgn0001981,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0003429,FBgn0003984,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0011706,FBgn0011829,FBgn0013469,FBgn0014163,FBgn0014343,FBgn0015229,FBgn0015371,FBgn0015380,FBgn0015609,FBgn0015903,FBgn0015946,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0029082,FBgn0029814,FBgn0032741,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0036494,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039286,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0041605,FBgn0051721,FBgn0052423,FBgn0053179,FBgn0083963,FBgn0083975,FBgn0083981,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0260941,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262656,FBgn0262733,FBgn0264006,FBgn0264606,FBgn0265296,FBgn0265487,FBgn0266521,FBgn0267001	GO:0007399
neuron development	9.29730422692341e-13	FBgn0000273,FBgn0000636,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0011829,FBgn0014163,FBgn0014343,FBgn0015371,FBgn0015380,FBgn0015609,FBgn0016797,FBgn0020294,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0026239,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0036494,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0051721,FBgn0052423,FBgn0053179,FBgn0083981,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0262018,FBgn0262473,FBgn0262733,FBgn0264006,FBgn0265296,FBgn0265487,FBgn0266521,FBgn0267001	GO:0048666
generation of neurons	1.351959676688907e-12	FBgn0000273,FBgn0000636,FBgn0001180,FBgn0001981,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0011829,FBgn0013469,FBgn0014163,FBgn0014343,FBgn0015371,FBgn0015380,FBgn0015609,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0029082,FBgn0032741,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0036494,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0051721,FBgn0052423,FBgn0053179,FBgn0083981,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0260941,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262656,FBgn0262733,FBgn0264006,FBgn0265296,FBgn0265487,FBgn0266521,FBgn0267001	GO:0048699
cell-cell signaling	1.749787451688745e-12	FBgn0000024,FBgn0000273,FBgn0002643,FBgn0003380,FBgn0003429,FBgn0004168,FBgn0004449,FBgn0011582,FBgn0015380,FBgn0015519,FBgn0015903,FBgn0016797,FBgn0019985,FBgn0024944,FBgn0028875,FBgn0030230,FBgn0030897,FBgn0033438,FBgn0033739,FBgn0033791,FBgn0033876,FBgn0034072,FBgn0034136,FBgn0035756,FBgn0037408,FBgn0037546,FBgn0038542,FBgn0040752,FBgn0041605,FBgn0083963,FBgn0083975,FBgn0086778,FBgn0250910,FBgn0260003,FBgn0262593,FBgn0262733,FBgn0263995,FBgn0264006,FBgn0264606,FBgn0264908,FBgn0265416,FBgn0267001	GO:0007267
neuron differentiation	1.893550606609825e-12	FBgn0000273,FBgn0000636,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0011829,FBgn0013469,FBgn0014163,FBgn0014343,FBgn0015371,FBgn0015380,FBgn0015609,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0029082,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0036494,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0051721,FBgn0052423,FBgn0053179,FBgn0083981,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0260941,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262733,FBgn0264006,FBgn0265296,FBgn0265487,FBgn0266521,FBgn0267001	GO:0030182
cell junction organization	2.3660029448841043e-12	FBgn0003429,FBgn0004449,FBgn0004509,FBgn0010105,FBgn0010415,FBgn0015380,FBgn0016797,FBgn0019985,FBgn0023095,FBgn0024189,FBgn0024277,FBgn0030897,FBgn0031837,FBgn0033438,FBgn0034720,FBgn0035050,FBgn0037015,FBgn0037908,FBgn0037993,FBgn0038282,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0041605,FBgn0051708,FBgn0052791,FBgn0083963,FBgn0083975,FBgn0085387,FBgn0085414,FBgn0085420,FBgn0259245,FBgn0261560,FBgn0262018,FBgn0262473,FBgn0262733,FBgn0264006,FBgn0264606,FBgn0265416,FBgn0266521,FBgn0267001	GO:0034330
synapse organization	2.8282489170334465e-12	FBgn0003429,FBgn0004449,FBgn0004509,FBgn0010105,FBgn0010415,FBgn0015380,FBgn0016797,FBgn0019985,FBgn0023095,FBgn0024277,FBgn0030897,FBgn0031837,FBgn0034720,FBgn0035050,FBgn0037015,FBgn0037908,FBgn0037993,FBgn0038282,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0041605,FBgn0051708,FBgn0052791,FBgn0083963,FBgn0083975,FBgn0085414,FBgn0085420,FBgn0259245,FBgn0261560,FBgn0262473,FBgn0262733,FBgn0264006,FBgn0264606,FBgn0265416,FBgn0266521,FBgn0267001	GO:0050808
neurogenesis	1.418907950508449e-11	FBgn0000273,FBgn0000636,FBgn0001180,FBgn0001981,FBgn0002643,FBgn0003300,FBgn0003380,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004885,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0011829,FBgn0013469,FBgn0014163,FBgn0014343,FBgn0015371,FBgn0015380,FBgn0015609,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0029082,FBgn0032741,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0036494,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0051721,FBgn0052423,FBgn0053179,FBgn0083981,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0260941,FBgn0261648,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262656,FBgn0262733,FBgn0264006,FBgn0265296,FBgn0265487,FBgn0266521,FBgn0267001	GO:0022008
system development	1.874255935111029e-11	FBgn0000273,FBgn0000395,FBgn0000636,FBgn0001180,FBgn0001981,FBgn0002643,FBgn0003285,FBgn0003300,FBgn0003380,FBgn0003429,FBgn0003463,FBgn0003984,FBgn0004449,FBgn0004456,FBgn0004509,FBgn0004839,FBgn0004870,FBgn0004885,FBgn0010105,FBgn0010415,FBgn0010452,FBgn0011706,FBgn0011829,FBgn0013469,FBgn0014163,FBgn0014343,FBgn0015229,FBgn0015371,FBgn0015380,FBgn0015609,FBgn0015903,FBgn0015946,FBgn0016797,FBgn0020294,FBgn0021764,FBgn0022960,FBgn0023095,FBgn0024189,FBgn0024277,FBgn0025638,FBgn0026239,FBgn0028704,FBgn0029082,FBgn0029814,FBgn0032741,FBgn0033438,FBgn0033791,FBgn0034072,FBgn0034720,FBgn0035101,FBgn0035802,FBgn0036494,FBgn0036801,FBgn0038092,FBgn0038494,FBgn0038498,FBgn0038755,FBgn0039054,FBgn0039257,FBgn0039286,FBgn0039431,FBgn0039617,FBgn0040752,FBgn0041605,FBgn0051721,FBgn0051774,FBgn0052423,FBgn0053179,FBgn0083963,FBgn0083975,FBgn0083981,FBgn0085407,FBgn0085414,FBgn0085443,FBgn0085447,FBgn0243486,FBgn0260003,FBgn0260941,FBgn0261574,FBgn0261648,FBgn0261988,FBgn0262018,FBgn0262111,FBgn0262473,FBgn0262656,FBgn0262733,FBgn0263102,FBgn0263706,FBgn0264006,FBgn0264606,FBgn0265296,FBgn0265487,FBgn0266521,FBgn0267001,FBgn0267337	GO:0048731
