taxis	7.796797887872717e-18	FBgn0000028,FBgn0000635,FBgn0002543,FBgn0003996,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0005775,FBgn0010473,FBgn0013433,FBgn0016061,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0085382,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0265194,FBgn0265959,FBgn0283451,FBgn0284408	GO:0042330
neuron development	2.3164186090870437e-17	FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0005775,FBgn0010114,FBgn0010473,FBgn0013433,FBgn0015904,FBgn0016061,FBgn0027339,FBgn0028644,FBgn0028645,FBgn0031414,FBgn0032666,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262636,FBgn0263873,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0283451,FBgn0284408,FBgn0285926	GO:0048666
neuron projection development	3.102429259450793e-17	FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0005775,FBgn0010473,FBgn0013433,FBgn0015904,FBgn0016061,FBgn0027339,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0262636,FBgn0263873,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0283451,FBgn0284408,FBgn0285926	GO:0031175
cell morphogenesis involved in neuron differentiation	7.316859328338653e-17	FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0010473,FBgn0013433,FBgn0015904,FBgn0016061,FBgn0027339,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263873,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0283451,FBgn0284408	GO:0048667
axon development	1.1937715390996534e-16	FBgn0000028,FBgn0000635,FBgn0001297,FBgn0002543,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0005775,FBgn0010473,FBgn0013433,FBgn0016061,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263873,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0284408,FBgn0285926	GO:0061564
chemotaxis	3.7021520191068733e-16	FBgn0000028,FBgn0000635,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0005775,FBgn0010473,FBgn0013433,FBgn0016061,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0284408	GO:0006935
neuron projection guidance	1.8957264195467324e-15	FBgn0000028,FBgn0000635,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0010473,FBgn0013433,FBgn0016061,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0284408	GO:0097485
neuron projection morphogenesis	1.9562983354923527e-15	FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0010473,FBgn0013433,FBgn0015904,FBgn0016061,FBgn0027339,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263873,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0283451,FBgn0284408	GO:0048812
cell projection morphogenesis	2.266645133659509e-15	FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0010473,FBgn0013433,FBgn0015904,FBgn0016061,FBgn0027339,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263873,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0283451,FBgn0284408	GO:0048858
plasma membrane bounded cell projection morphogenesis	2.266645133659509e-15	FBgn0000028,FBgn0000635,FBgn0001297,FBgn0001319,FBgn0002543,FBgn0004198,FBgn0004369,FBgn0004595,FBgn0004652,FBgn0005636,FBgn0010473,FBgn0013433,FBgn0015904,FBgn0016061,FBgn0027339,FBgn0028644,FBgn0028645,FBgn0038084,FBgn0038087,FBgn0039584,FBgn0040271,FBgn0041097,FBgn0053202,FBgn0086677,FBgn0086680,FBgn0260660,FBgn0261046,FBgn0261588,FBgn0263873,FBgn0263930,FBgn0264089,FBgn0264273,FBgn0264442,FBgn0265002,FBgn0283451,FBgn0284408	GO:0120039
